,totalImperfection,ruleSpaceID,goodDesignsElim,impact,totalPerfection,numIncorrect,poorDesignsElim,totalDesignsElim,poorPerfection,poornessPercent,numCorrect,goodPerfection,goodnessPercent,poorEliminationPercent
final_P1_P2_Rule_F,False,final_P1_P2_Rule_F,474,28,False,1434,1038,1512,False,48,2562,False,76,68
final_P1_S1_Rule_F,False,final_P1_S1_Rule_F,474,28,False,1434,1038,1512,False,48,2562,False,76,68
final_P1_Y_Rule_F,False,final_P1_Y_Rule_F,474,28,False,1434,1038,1512,False,48,2562,False,76,68
final_P1_Y_Rule_A,False,final_P1_Y_Rule_A,474,28,False,1434,1038,1512,False,48,2562,False,76,68
final_P1_P2_Rule_A,False,final_P1_P2_Rule_A,474,28,False,1434,1038,1512,False,48,2562,False,76,68
final_P1_Y_Rule_O,False,final_P1_Y_Rule_O,474,28,False,1434,1038,1512,False,48,2562,False,76,68
final_P1_Rule_NI,False,final_P1_Rule_NI,474,28,False,1434,1038,1512,False,48,2562,False,76,68
final_P1_S1_Rule_A,False,final_P1_S1_Rule_A,474,28,False,1434,1038,1512,False,48,2562,False,76,68
final_PH1_Rule_M,False,final_PH1_Rule_M,933,32,False,1344,1587,2520,False,20,2652,False,53,62
final_P1_S1_Rule_T,False,final_P1_S1_Rule_T,560,35,False,1282,1276,1836,False,36,2714,False,71,69
final_PP2_Rule_NI,False,final_PP2_Rule_NI,206,38,False,1222,982,1188,False,50,2774,False,89,82
final_P2_Y_Rule_O,False,final_P2_Y_Rule_O,241,51,False,968,1271,1512,False,36,3028,False,87,84
final_P2_Rule_NI,False,final_P2_Rule_NI,241,51,False,968,1271,1512,False,36,3028,False,87,84
final_P2_S1_Rule_A,False,final_P2_S1_Rule_A,241,51,False,968,1271,1512,False,36,3028,False,87,84
final_P2_S1_Rule_F,False,final_P2_S1_Rule_F,241,51,False,968,1271,1512,False,36,3028,False,87,84
final_P2_Y_Rule_A,False,final_P2_Y_Rule_A,241,51,False,968,1271,1512,False,36,3028,False,87,84
final_P2_Y_Rule_F,False,final_P2_Y_Rule_F,241,51,False,968,1271,1512,False,36,3028,False,87,84
final_P2_S1_Rule_T,False,final_P2_S1_Rule_T,349,56,False,860,1487,1836,False,25,3136,False,82,80
